e€itim düzeyi;Yaﬂ Aral›€›;Y›l;Adana-1;Ad›yaman-2;Afyonkarahisar-3;A€r›-4;Aksaray-68;Amasya-5;Ankara-6;Antalya-7;Ardahan-75;Artvin-8;Ayd›n-9;Bal›kesir-10;Bart›n-74;Batman-72;Bayburt-69;Bilecik-11;Bingöl-12;Bitlis-13;Bolu-14;Burdur-15;Bursa-16;Çanakkale-17;Çank›r›-18;Çorum-19;Denizli-20;Diyarbak›r-21;Düzce-81;Edirne-22;Elaz›€-23;Erzincan-24;Erzurum-25;Eskiﬂehir-26;Gaziantep-27;Giresun-28;Gümüﬂhane-29;Hakkari-30;Hatay-31;I€d›r-76;Isparta-32;‹stanbul-34;‹zmir-35;Kahramanmaraﬂ-46;Karabük-78;Karaman-70;Kars-36;Kastamonu-37;Kayseri-38;Kilis-79;K›r›kkale-71;K›rklareli-39;K›rﬂehir-40;Kocaeli-41;Konya-42;Kütahya-43;Malatya-44;Manisa-45;Mardin-47;Mersin-33;Mu€la-48;Muﬂ-49;Nevﬂehir-50;Ni€de-51;Ordu-52;Osmaniye-80;Rize-53;Sakarya-54;Samsun-55;ﬁanl›urfa-63;Siirt-56;Sinop-57;ﬁ›rnak-73;Sivas-58;Tekirda€-59;Tokat-60;Trabzon-61;Tunceli-62;Uﬂak-64;Van-65;Yalova-77;Yozgat-66;Zonguldak-67
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;55-59;2016;6219;1929;2166;1940;1052;812;7715;5819;248;422;2987;2954;1271;1786;292;187;1237;1282;513;603;5087;1092;445;2031;2227;7510;1305;943;3745;655;2271;853;5528;2486;537;907;8071;796;730;26810;10726;3666;664;229;845;1423;3454;414;669;497;601;3859;4580;1921;2178;4346;2250;5676;1481;1572;637;850;4250;1071;1452;2004;6608;7162;1119;606;1221;2106;1790;3339;3146;251;944;4900;430;1218;2685
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;55--59;2017;6232;2059;2150;2103;1032;751;7512;5711;262;389;2847;2794;1154;2001;243;189;1375;1456;463;541;5051;982;435;1877;2069;8370;1270;895;3855;720;2442;869;5647;2301;507;1008;7986;874;701;26786;10637;3690;643;202;830;1320;3312;429;612;491;539;3896;4536;1786;2262;4098;2485;5681;1404;1706;622;870;4094;1124;1406;1934;6474;7904;1205;582;1384;2028;1811;3124;2976;262;892;5339;421;1120;2462
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;60--64;2016;8305;2474;3522;2166;1645;1610;12107;8981;474;812;4612;5123;2227;1995;460;307;1423;1597;1173;1122;7603;2030;934;4345;3884;7301;2228;1377;5125;1057;3220;1441;6392;4640;999;771;11165;955;1283;34853;15115;5266;1267;638;1069;2909;5256;649;1124;781;1084;5455;7866;3773;3313;7231;2358;7842;2047;1819;1146;1158;7848;1696;2157;3054;12294;6134;1142;1503;1333;3390;2338;6375;5259;509;1904;4728;671;2203;3868
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;60--64;2017;7858;2319;3201;2142;1521;1417;11224;8369;431;741;4286;4512;2047;1981;380;276;1441;1572;1026;1037;7167;1785;821;3824;3511;7283;2011;1250;4881;1048;3062;1318;6105;4302;879;804;10597;913;1174;33405;14056;4944;1179;560;1021;2616;4877;594;1006;733;985;5170;7040;3262;3119;6560;2331;7317;1899;1806;1023;1075;7271;1639;2022;2801;11130;6245;1140;1314;1359;3033;2299;5725;5027;435;1659;4820;633;2052;3702
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;65+;2016;24121;6767;13653;4015;5981;9671;46461;38770;1956;4745;27966;30745;6803;3773;1820;2571;3203;3102;6731;6560;30324;15069;5098;20425;27121;15550;7853;8128;16848;4146;10621;9160;16778;23064;4095;1399;37161;2240;8202;99075;64769;16439;5075;5377;3587;14600;20625;2453;4968;4983;5015;16778;37893;20102;11757;32912;5556;33421;12806;3203;5076;5431;28524;4606;9235;12257;45962;12229;2164;8731;2082;13627;11699;27116;21730;1966;11491;7907;2722;9129;10559
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;65+;2017;24392;7055;13467;4095;6034;9524;46924;38563;1925;4553;27258;29957;6922;4063;1649;2466;3328;3202;6647;6379;30122;14433;4966;20214;26256;16354;7886;7857;16818;4579;10426;8864;17228;22467;3916;1496;36981;2289;7918;101176;64019;16726;4992;5213;3534;14287;20667;2437;4923;4786;4963;17293;37373;19646;11752;32443;5775;33158;12569;3323;5031;5325;28543;4751;8995;12222;45696;12885;2219;8478;2221;13328;11525;26699;21379;1939;11158;8291;2719;9052;10766
ilkokul;6--13;2016;150571;48575;44596;51834;26874;17556;301844;135713;6859;8229;56266;58014;9604;56581;5296;11132;20509;31722;14592;12811;168038;22204;9060;29308;56512;148195;21931;16679;37567;11992;57260;40695;166114;22939;8142;23882;120753;15983;22461;870510;212957;88516;11317;15537;22823;18516;93709;10225;15078;15230;12187;113301;146753;29514;53144;79479;75163;115425;46879;39200;17909;24613;42235;38061;18234;58528;76943;190550;31743;10280;52057;38721;54908;36431;43200;2896;18992;103187;12214;25300;32306
ilkokul;6--13;2017;150341;48679;44687;50400;27267;17348;305401;137249;6532;8043;56855;57729;9534;56755;4575;11031;20608;31266;14571;12745;170834;22574;8903;28587;56940;150064;22274;16656;37805;11912;55238;41144;169788;21793;7360;23751;121919;15679;22325;872585;216278;88713;11314;15398;22562;18221;94821;10440;14964;15105;12410;116617;147129;29014;53037;80249;75855;115621;47431;38227;17845;24248;41107;38515;17833;58726;76289;195598;31584;10013;53631;38419;56801;35768;42833;2827;18987;103531;12563;24961;32011
ilkokul;14--17;2016;23716;7674;7339;17487;5004;1453;27101;17739;600;528;8620;5778;1016;13491;619;909;3810;10211;1110;1730;18013;2090;1124;3999;7568;33819;1890;2327;4233;1320;14447;3514;30445;1450;814;5184;16936;3124;2297;110954;22648;14011;799;2379;4430;2133;11132;1902;1509;1583;1138;10400;28412;3051;4776;10523;18731;17232;5076;13498;2373;4705;4094;5900;1296;6119;9642;53229;10156;1523;13174;4326;6967;4827;3711;158;2470;31409;1187;3045;2263
ilkokul;14--17;2017;52597;17041;15146;25890;9414;5401;91647;45297;1959;2348;19293;18020;2986;23622;1356;3307;6896;15034;4344;4619;53700;7107;2955;10011;19056;59971;6323;5822;11516;3915;24055;12759;58938;6522;2346;9571;39883;6169;7155;283876;66350;31597;3280;5280;8212;5760;29374;3688;4762;4964;3708;33976;53867;9204;15922;26189;30504;40265;14768;19922;5735;9204;12734;13943;5280;18466;25327;84388;14688;3503;21420;12165;18704;12286;13065;802;6299;48111;3909;7886;9174
ilkokul;18--21;2016;1604;377;176;1760;98;56;1096;568;46;31;207;276;18;888;29;100;361;803;36;37;968;148;57;80;151;2303;49;180;226;69;827;135;2082;50;22;524;666;176;48;9877;1160;521;23;23;317;98;398;99;50;108;31;575;571;37;268;385;1143;935;154;885;48;133;80;281;51;264;232;5433;730;61;1248;124;412;187;100;60;57;2569;87;87;55
ilkokul;18--21;2017;2058;411;202;2727;114;70;1324;672;44;20;320;343;17;1004;34;87;463;1227;43;47;1149;208;73;105;231;3210;55;272;282;94;1190;194;2586;53;33;658;903;261;91;10955;1474;576;35;39;493;79;431;167;57;143;44;656;647;41;262;534;1506;1134;168;1433;69;144;82;333;43;327;277;7824;860;81;1573;154;580;219;116;61;65;3786;107;111;74
ilkokul;22--24;2016;930;164;61;444;49;22;559;388;10;10;121;98;7;575;10;29;130;207;14;7;531;53;29;34;75;1096;30;47;103;24;190;70;939;25;15;129;353;70;23;6953;813;209;7;15;68;34;151;23;22;32;13;264;278;18;154;188;454;502;82;245;26;34;39;126;20;109;101;1715;209;8;358;66;213;95;68;14;25;665;61;28;21
ilkokul;22--24;2017;1225;181;111;716;71;37;753;491;15;18;199;193;9;675;13;47;178;325;23;16;731;63;39;56;115;1488;47;93;151;41;296;130;1566;25;14;169;546;139;37;8297;1077;447;16;13;152;49;253;48;29;68;24;490;381;22;193;288;684;695;112;393;47;119;69;158;21;164;133;2313;321;27;543;91;376;141;94;10;37;1146;70;64;42
ilkokul;25--29;2016;4416;1217;1094;1995;676;184;5292;2848;157;79;1337;1035;110;1698;116;194;695;929;175;126;3507;367;140;486;901;4109;290;390;1108;252;1823;547;5813;343;151;524;3102;405;263;28881;5364;2111;115;181;753;339;1827;194;190;253;168;2331;3185;363;1188;1903;2248;2895;877;1145;368;737;724;678;170;947;1529;6132;747;162;1323;689;1409;778;451;42;289;3314;266;604;343
ilkokul;25--29;2017;3379;592;315;1832;119;102;3104;1511;94;25;586;479;40;1459;33;120;435;701;70;41;2267;146;51;182;400;3447;137;226;470;102;884;407;5200;135;42;287;1465;317;101;21393;2982;1281;41;51;463;106;916;122;92;147;50;1570;970;83;461;745;1719;1859;407;871;78;244;255;377;47;443;533;5724;677;59;1271;245;1066;279;143;22;90;2749;194;247;97
ilkokul;30--34;2016;31916;10099;12580;9937;7591;3352;52383;32252;1445;1017;15489;14336;2076;7606;1119;2177;4098;4763;2928;2578;35461;5902;1604;6963;12970;24089;3932;3568;8180;2096;12565;6720;40389;4000;1666;3458;28146;2667;3472;227238;54424;19839;1734;3474;5290;5062;19286;1683;1912;2794;1964;23231;45167;7791;9421;24834;12260;25472;12838;5777;3980;6246;10292;6431;2383;12214;18428;30352;3935;2317;6749;7591;13000;8273;6766;570;4451;18792;2127;5890;7379
ilkokul;30--34;2017;27172;8567;10494;8736;6244;2674;42349;25914;1181;780;12711;11459;1657;6858;806;1752;3653;4268;2242;2032;29361;4680;1317;5519;10244;20850;3224;2975;7102;1797;10978;5660;34462;3170;1271;2897;24291;2376;2729;190211;44915;16804;1400;2750;4466;4057;15738;1498;1541;2210;1582;19611;37064;6177;8090;20275;11527;21438;10265;5110;3318;5371;8053;5404;1902;9722;15251;27602;3473;1924;6086;6200;11280;6763;5352;468;3601;16604;1854;4849;5819
ilkokul;35--39;2016;41150;13474;15724;12151;9668;4968;69838;46520;2222;1630;20697;20795;2800;10146;1479;3093;6197;6146;4407;4104;51296;9058;2263;10159;19616;31104;6234;5509;11125;3136;15645;9665;48100;6283;2381;5209;39597;3853;5452;304675;76065;25006;2502;4647;6835;6898;25120;2355;2515;4532;2976;31265;52581;10009;12957;34468;15982;36260;18957;7265;5091;7752;15138;8715;3958;18140;27395;34127;4985;3097;8642;9974;17552;11147;10173;1022;6263;21151;3016;7853;10079
ilkokul;35--39;2017;39287;12957;14814;12379;9157;4681;65383;43293;2079;1431;19501;19182;2546;10399;1208;2991;5949;6095;4013;3699;48159;8390;2089;9365;17939;31876;5790;5046;10629;2855;14998;9034;47279;5596;2052;5280;37469;3796;4952;288472;71612;24503;2324;4336;6788;6480;23501;2279;2367;4216;2655;29678;50177;9217;12367;32235;15633;34401;17493;7269;4674;7391;13555;8248;3474;16693;25339;34893;4943;3024;8991;9527;17149;10357;9238;921;5817;21961;2904;7311;9273
ilkokul;40--44;2016;40723;12564;16619;10325;9926;5810;78903;51019;2396;2268;22874;25782;3326;7676;1830;3519;5248;5440;5228;5363;55250;11148;2652;11300;22358;25236;7645;7218;11506;3686;15367;11590;41931;7765;3059;3725;40747;3345;6701;300741;82948;24095;3479;5213;6186;7527;27599;2084;3335;5682;3732;32554;53086;11589;14030;37874;13856;39825;21736;5921;5483;7887;16917;9212;5170;20257;28544;29066;4179;3690;6538;10958;17934;12711;12463;1216;7091;18459;3506;9275;12515
ilkokul;40--44;2017;39884;12518;16135;9701;9707;5414;76202;49162;2214;2033;21989;24615;3104;7957;1423;3406;5164;5342;5014;5082;53757;10488;2479;10758;21463;25877;7180;6913;11151;3517;14615;11117;43020;7074;2607;3788;40048;3287;6353;293550;80270;23791;3258;4999;5956;7187;26839;2114;3026;5421;3569;31969;52087;11023;13584;36880;13802;38607;20780;5880;5262;7674;15539;8893;4694;19504;27646;29813;4213;3460;6729;10593;17893;12094;11686;1143;6873;17351;3382;8788;11772
