|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Ağrı-4|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Çanakkale-17|Çankırı-18|Çorum-19|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Iğdır-76|Isparta-32|İstanbul-34|İzmir-35|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kırıkkale-71|Kırklareli-39|Kırşehir-40|Kocaeli-41|Konya-42|Kütahya-43|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Şanlıurfa-63|Siirt-56|Sinop-57|Şırnak-73|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|
||2017|74594.0|24259.0|29969.0|13748.0|16593.0|14713.0|233689.0|78922.0|3905.0|7668.0|37925.0|43961.0|8882.0|19398.0|7520.0|11782.0|11550.0|10470.0|19286.0|15944.0|100363.0|26730.0|8574.0|18865.0|41858.0|51221.0|18465.0|21887.0|28096.0|15761.0|38952.0|43090.0|63273.0|21059.0|11544.0|10931.0|51452.0|6313.0|26105.0|522410.0|147636.0|39044.0|18659.0|10129.0|11246.0|17541.0|56585.0|6254.0|17444.0|16167.0|11841.0|68975.0|96191.0|26117.0|36172.0|48219.0|25151.0|58849.0|31300.0|10708.0|13158.0|16865.0|26672.0|19115.0|15686.0|44114.0|50557.0|46518.0|11958.0|7629.0|15700.0|31509.0|31801.0|26248.0|40214.0|3875.0|16789.0|32245.0|9768.0|16294.0|25368.0|
|18-21 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2016|6982.0|1588.0|1219.0|10450.0|964.0|174.0|4464.0|2555.0|153.0|111.0|1423.0|1254.0|70.0|3845.0|106.0|335.0|1507.0|3799.0|160.0|173.0|3920.0|718.0|191.0|375.0|869.0|15511.0|200.0|966.0|1090.0|300.0|3241.0|688.0|8624.0|339.0|847.0|2424.0|4465.0|1475.0|424.0|29946.0|5550.0|2549.0|151.0|152.0|1589.0|344.0|1420.0|404.0|286.0|523.0|362.0|2008.0|3000.0|321.0|1030.0|1944.0|6408.0|4137.0|601.0|6302.0|380.0|619.0|586.0|1082.0|163.0|922.0|1062.0|24426.0|2936.0|248.0|3886.0|763.0|1824.0|778.0|541.0|187.0|277.0|14430.0|317.0|1576.0|380.0|
||2017|5499.0|1275.0|1064.0|8244.0|853.0|203.0|3547.0|2190.0|116.0|80.0|1175.0|1007.0|60.0|3053.0|75.0|214.0|1179.0|2965.0|114.0|136.0|3205.0|604.0|189.0|293.0|724.0|12690.0|190.0|832.0|888.0|255.0|2421.0|582.0|6764.0|287.0|872.0|1870.0|3625.0|1183.0|479.0|23154.0|4139.0|2064.0|106.0|139.0|1121.0|215.0|1145.0|329.0|249.0|434.0|329.0|1587.0|2571.0|242.0|852.0|1662.0|5271.0|3176.0|491.0|5257.0|293.0|473.0|452.0|915.0|137.0|783.0|785.0|19723.0|2315.0|163.0|3089.0|699.0|1529.0|631.0|457.0|110.0|234.0|11432.0|296.0|1440.0|320.0|
|18-21 ve Okuma Yazma Bilmeyen|2016|495.0|51.0|36.0|106.0|14.0|2.0|147.0|56.0|14.0|4.0|17.0|64.0|4.0|273.0|7.0|14.0|144.0|301.0|4.0|6.0|153.0|17.0|10.0|11.0|49.0|796.0|11.0|44.0|29.0|2.0|136.0|34.0|85.0|2.0|1.0|334.0|69.0|118.0|6.0|1119.0|165.0|44.0|11.0|10.0|135.0|9.0|73.0|22.0|10.0|28.0|12.0|174.0|72.0|19.0|78.0|43.0|533.0|122.0|38.0|107.0|13.0|13.0|9.0|111.0|5.0|79.0|28.0|2259.0|389.0|12.0|501.0|10.0|118.0|14.0|17.0|4.0|13.0|1757.0|8.0|64.0|9.0|
||2017|327.0|42.0|28.0|62.0|8.0|5.0|71.0|42.0|7.0|1.0|14.0|48.0|1.0|174.0|4.0|4.0|104.0|161.0|||97.0|12.0|5.0|8.0|37.0|540.0|7.0|29.0|11.0|2.0|85.0|25.0|49.0|2.0|1.0|230.0|46.0|89.0|1.0|746.0|114.0|19.0|8.0|4.0|88.0|7.0|51.0|21.0|3.0|19.0|6.0|129.0|61.0|15.0|59.0|24.0|362.0|72.0|17.0|53.0|17.0|9.0|6.0|70.0|6.0|62.0|15.0|1449.0|262.0|11.0|284.0|6.0|78.0|15.0|5.0||10.0|1317.0|9.0|70.0|6.0|
|18-21 ve Ortaokul Veya Dengi Meslek Ortaokul|2016|9804.0|3725.0|1970.0|6363.0|1097.0|1018.0|15891.0|9082.0|523.0|605.0|3590.0|3350.0|422.0|5086.0|321.0|695.0|1659.0|2798.0|723.0|816.0|10596.0|1508.0|495.0|2033.0|3724.0|13129.0|1249.0|1145.0|2164.0|751.0|3929.0|2377.0|10140.0|1374.0|521.0|2923.0|5338.0|1606.0|1185.0|66208.0|15389.0|5595.0|510.0|930.0|1793.0|939.0|4820.0|546.0|639.0|1002.0|630.0|6532.0|7351.0|1172.0|3282.0|4281.0|5283.0|8055.0|2895.0|3680.0|785.0|1196.0|2233.0|2818.0|1285.0|3014.0|3974.0|20573.0|2354.0|606.0|6211.0|2290.0|3723.0|2438.0|2545.0|250.0|891.0|10108.0|924.0|1476.0|1516.0|
||2017|17284.0|6289.0|4343.0|9552.0|2195.0|1961.0|28093.0|14764.0|913.0|862.0|6061.0|6095.0|807.0|8188.0|458.0|1215.0|2863.0|4491.0|1347.0|1592.0|16809.0|2581.0|1097.0|3661.0|6359.0|21383.0|2279.0|1941.0|4091.0|1500.0|6796.0|4199.0|18892.0|2017.0|758.0|4050.0|10176.0|2467.0|2603.0|98145.0|24614.0|10825.0|974.0|1731.0|3112.0|1540.0|9393.0|1146.0|1561.0|1661.0|1254.0|12204.0|13026.0|2786.0|5936.0|8126.0|8733.0|13365.0|4653.0|5869.0|1486.0|2549.0|3852.0|5507.0|2041.0|5514.0|7225.0|29799.0|3937.0|1062.0|9153.0|4409.0|6131.0|4109.0|4270.0|496.0|1923.0|15630.0|1421.0|3130.0|2503.0|
|18-21 ve Yüksekokul Veya Fakülte|2016|4836.0|1637.0|1727.0|869.0|794.0|850.0|10218.0|4960.0|268.0|484.0|2311.0|2776.0|467.0|1183.0|223.0|619.0|574.0|739.0|717.0|829.0|6105.0|1364.0|527.0|1059.0|2297.0|2573.0|906.0|927.0|1495.0|897.0|1577.0|1600.0|3649.0|1674.0|788.0|731.0|3735.0|433.0|1263.0|40717.0|9051.0|2636.0|784.0|755.0|755.0|1168.0|2568.0|355.0|788.0|1061.0|568.0|4881.0|5026.0|1590.0|1536.0|3515.0|1637.0|4158.0|1971.0|639.0|705.0|855.0|2381.0|1506.0|740.0|2418.0|3671.0|2286.0|774.0|543.0|848.0|1536.0|1982.0|1728.0|1976.0|304.0|842.0|1682.0|610.0|1083.0|1386.0|
||2017|5278.0|1633.0|1663.0|854.0|865.0|901.0|11213.0|5249.0|285.0|463.0|2643.0|3156.0|531.0|1292.0|273.0|849.0|606.0|773.0|673.0|999.0|6273.0|1586.0|488.0|1075.0|2305.0|2780.0|951.0|990.0|1558.0|928.0|1537.0|1693.0|3804.0|1710.0|730.0|753.0|4070.0|469.0|1546.0|46150.0|9645.0|2573.0|844.0|785.0|735.0|995.0|2612.0|372.0|734.0|1181.0|605.0|5224.0|5479.0|1606.0|1567.0|4006.0|1742.0|4560.0|2274.0|639.0|841.0|777.0|2348.0|1484.0|732.0|2418.0|3818.0|2381.0|822.0|594.0|970.0|1792.0|2272.0|1739.0|1991.0|284.0|878.0|1867.0|677.0|987.0|1512.0|
|22-24 ve İlköğretim|2016|32900.0|11535.0|12237.0|9956.0|7717.0|3515.0|57330.0|33354.0|1875.0|1477.0|15920.0|13418.0|2769.0|13237.0|1362.0|2518.0|5321.0|7215.0|2505.0|2759.0|38763.0|4846.0|2267.0|7226.0|12688.0|34871.0|5118.0|3767.0|7952.0|2674.0|12634.0|7168.0|41412.0|4595.0|2199.0|6623.0|25033.0|3954.0|4215.0|215132.0|56024.0|20048.0|2032.0|4209.0|6487.0|4422.0|20651.0|2622.0|2972.0|3644.0|2489.0|27247.0|38499.0|6843.0|9525.0|20954.0|17549.0|26129.0|11343.0|8130.0|4413.0|6510.0|10528.0|6843.0|3508.0|12907.0|19855.0|39911.0|7301.0|2743.0|12325.0|9320.0|14880.0|8965.0|8158.0|1010.0|5047.0|24805.0|2612.0|6310.0|6380.0|
||2017|32034.0|11242.0|11908.0|10065.0|7593.0|3498.0|55238.0|32421.0|1896.0|1432.0|15486.0|13052.0|2609.0|13302.0|1174.0|2519.0|5148.0|7197.0|2375.0|2722.0|37455.0|4887.0|2228.0|6766.0|12608.0|34683.0|4980.0|3899.0|7625.0|2814.0|12588.0|7005.0|42669.0|4413.0|1965.0|7919.0|25016.0|4168.0|4400.0|208643.0|54553.0|19354.0|1922.0|4150.0|6462.0|4176.0|20459.0|2882.0|2718.0|3704.0|2302.0|26625.0|37764.0|6223.0|9171.0|20386.0|17765.0|25660.0|10969.0|7908.0|4367.0|6359.0|10205.0|6564.0|3415.0|12858.0|19925.0|41259.0|7324.0|2721.0|12923.0|9126.0|15069.0|8710.0|7752.0|1134.0|5066.0|24725.0|2528.0|5944.0|5912.0|
|22-24 ve İlkokul|2016|930.0|164.0|61.0|444.0|49.0|22.0|559.0|388.0|10.0|10.0|121.0|98.0|7.0|575.0|10.0|29.0|130.0|207.0|14.0|7.0|531.0|53.0|29.0|34.0|75.0|1096.0|30.0|47.0|103.0|24.0|190.0|70.0|939.0|25.0|15.0|129.0|353.0|70.0|23.0|6953.0|813.0|209.0|7.0|15.0|68.0|34.0|151.0|23.0|22.0|32.0|13.0|264.0|278.0|18.0|154.0|188.0|454.0|502.0|82.0|245.0|26.0|34.0|39.0|126.0|20.0|109.0|101.0|1715.0|209.0|8.0|358.0|66.0|213.0|95.0|68.0|14.0|25.0|665.0|61.0|28.0|21.0|
||2017|1225.0|181.0|111.0|716.0|71.0|37.0|753.0|491.0|15.0|18.0|199.0|193.0|9.0|675.0|13.0|47.0|178.0|325.0|23.0|16.0|731.0|63.0|39.0|56.0|115.0|1488.0|47.0|93.0|151.0|41.0|296.0|130.0|1566.0|25.0|14.0|169.0|546.0|139.0|37.0|8297.0|1077.0|447.0|16.0|13.0|152.0|49.0|253.0|48.0|29.0|68.0|24.0|490.0|381.0|22.0|193.0|288.0|684.0|695.0|112.0|393.0|47.0|119.0|69.0|158.0|21.0|164.0|133.0|2313.0|321.0|27.0|543.0|91.0|376.0|141.0|94.0|10.0|37.0|1146.0|70.0|64.0|42.0|
